Alter;Geschlecht;Klasse;Anzahl_Apps;Anzahl_Onlineprofile;Anzahl_Kontakte;Nutzen_WhatsApp;Nutzen_Instagram;Nutzen_Facebook;Nutzen_Twitter;Nutzen_Snapchat
12;männlich;6;12;3;55;täglich;einmal in 14 Tagen;nie;nie;nie
17;weiblich;11;17;9;267;nie;einmal im Monat;mehrmals pro Woche;nie;nie
17;männlich;11;21;5;56;täglich;täglich;mehrmals pro Woche;nie;nie
18;weiblich;11;41;8;73;täglich;täglich;einmal in 14 Tagen;nie;nie
13;männlich;8;12;4;88;mehrmals pro Woche;einmal pro Woche;nie;nie;einmal pro Woche
15;weiblich;9;38;5;150;täglich;täglich;nie;nie;täglich
14;weiblich;8;8;0;56;mehrmals pro Woche;nie;nie;nie;nie
17;weiblich;11;31;12;176;täglich;täglich;seltener;nie;täglich
16;männlich;10;38;12;129;täglich;einmal in 14 Tagen;täglich;einmal in 14 Tagen;nie
17;weiblich;11;40;9;479;täglich;täglich;täglich;seltener;täglich
18;weiblich;12;72;4;270;täglich;täglich;mehrmals pro Woche;nie;täglich
16;weiblich;10;17;10;237;täglich;täglich;nie;täglich;täglich
16;weiblich;11;62;6;469;täglich;täglich;einmal im Monat;nie;täglich
15;männlich;9;20;29;30;mehrmals pro Woche;täglich;nie;nie;täglich
15;weiblich;10;17;5;57;täglich;täglich;nie;nie;täglich
13;männlich;8;167;8;67;täglich;täglich;nie;nie;täglich
14;männlich;9;80;5;115;täglich;mehrmals pro Woche;seltener;nie;mehrmals pro Woche
16;männlich;11;51;20;280;täglich;täglich;nie;seltener;täglich
16;männlich;10;42;14;251;täglich;täglich;seltener;nie;nie
17;männlich;12;129;9;101;täglich;täglich;täglich;seltener;täglich
17;männlich;11;29;1;132;täglich;seltener;nie;nie;täglich
17;männlich;12;90;15;163;täglich;einmal pro Woche;nie;nie;täglich
17;männlich;11;53;15;243;täglich;einmal im Monat;nie;seltener;einmal in 14 Tagen
14;männlich;8;58;6;180;täglich;täglich;nie;einmal im Monat;täglich
15;männlich;8;41;9;104;täglich;mehrmals pro Woche;nie;täglich;nie
15;männlich;8;31;4;288;täglich;täglich;nie;einmal pro Woche;täglich
15;weiblich;10;27;1;111;täglich;nie;nie;nie;nie
13;weiblich;7;9;4;61;täglich;täglich;täglich;nie;nie
15;männlich;10;44;15;45;täglich;täglich;nie;nie;täglich
15;weiblich;9;32;5;89;mehrmals pro Woche;mehrmals pro Woche;nie;nie;nie
17;weiblich;12;12;9;99;täglich;täglich;nie;nie;täglich
18;männlich;11;50;10;147;täglich;einmal pro Woche;einmal im Monat;einmal in 14 Tagen;täglich
12;männlich;7;;;;seltener;nie;nie;nie;nie
18;weiblich;11;61;5;189;täglich;täglich;täglich;nie;täglich
17;männlich;11;37;7;304;täglich;täglich;einmal in 14 Tagen;mehrmals pro Woche;täglich
14;männlich;8;25;4;35;mehrmals pro Woche;nie;nie;nie;nie
17;männlich;11;28;20;474;täglich;täglich;einmal im Monat;nie;täglich
18;weiblich;11;17;6;48;mehrmals pro Woche;mehrmals pro Woche;nie;nie;mehrmals pro Woche
17;männlich;11;25;5;322;täglich;täglich;seltener;einmal pro Woche;täglich
18;männlich;11;63;3;52;täglich;täglich;nie;täglich;täglich
18;männlich;11;54;15;198;täglich;nie;nie;seltener;nie
17;weiblich;11;14;5;165;täglich;seltener;nie;nie;einmal in 14 Tagen
20;männlich;12;48;4;104;täglich;nie;seltener;nie;mehrmals pro Woche
17;männlich;11;70;39;190;täglich;nie;nie;nie;nie
17;weiblich;11;47;12;217;täglich;täglich;einmal pro Woche;einmal pro Woche;täglich
12;weiblich;6;6;3;72;täglich;nie;nie;nie;mehrmals pro Woche
11;männlich;6;45;1;43;täglich;nie;nie;nie;nie
13;weiblich;8;15;4;64;täglich;mehrmals pro Woche;nie;nie;täglich
17;weiblich;11;30;12;465;täglich;täglich;nie;nie;täglich
15;männlich;9;101;8;299;täglich;mehrmals pro Woche;einmal in 14 Tagen;einmal im Monat;täglich
17;weiblich;11;18;3;230;täglich;täglich;mehrmals pro Woche;nie;nie
19;weiblich;11;52;3;110;täglich;mehrmals pro Woche;täglich;nie;täglich
16;männlich;10;59;4;86;täglich;täglich;einmal pro Woche;nie;täglich
15;männlich;9;70;9;140;täglich;täglich;nie;einmal pro Woche;täglich
18;männlich;12;40;50;250;täglich;nie;nie;nie;täglich
16;weiblich;10;5;5;31;täglich;täglich;mehrmals pro Woche;nie;täglich
19;weiblich;12;23;6;146;täglich;täglich;mehrmals pro Woche;seltener;täglich
12;männlich;6;40;2;75;täglich;nie;nie;nie;nie
11;weiblich;5;0;0;29;nie;nie;nie;nie;nie
14;weiblich;8;15;3;120;täglich;täglich;nie;nie;täglich
18;männlich;12;198;4;121;täglich;täglich;einmal in 14 Tagen;nie;einmal im Monat
14;weiblich;10;6;4;316;täglich;täglich;nie;nie;täglich
14;männlich;8;30;3;257;täglich;täglich;nie;seltener;nie
15;weiblich;9;28;3;225;täglich;täglich;nie;nie;täglich
15;weiblich;9;28;3;225;täglich;täglich;nie;nie;täglich
15;weiblich;10;18;2;38;täglich;täglich;nie;nie;mehrmals pro Woche
14;männlich;9;6;3;250;täglich;täglich;nie;einmal im Monat;täglich
17;männlich;11;67;13;152;täglich;täglich;nie;seltener;täglich
14;männlich;8;71;6;150;täglich;täglich;einmal in 14 Tagen;täglich;täglich
13;männlich;7;59;13;89;täglich;mehrmals pro Woche;mehrmals pro Woche;mehrmals pro Woche;nie
12;weiblich;6;4;0;0;nie;nie;nie;nie;nie
14;männlich;8;67;6;32;täglich;täglich;nie;mehrmals pro Woche;einmal pro Woche
16;männlich;10;29;16;197;täglich;täglich;nie;einmal pro Woche;täglich
15;männlich;9;21;4;104;täglich;täglich;seltener;nie;nie
13;weiblich;8;47;0;138;täglich;nie;nie;nie;nie
13;weiblich;8;43;0;138;täglich;nie;nie;nie;nie
17;weiblich;10;35;10;1058;täglich;täglich;seltener;seltener;täglich
17;männlich;10;37;10;1058;täglich;täglich;seltener;seltener;täglich
15;männlich;9;53;4;112;täglich;täglich;nie;seltener;täglich
14;weiblich;8;95;15;303;täglich;täglich;einmal im Monat;seltener;täglich
15;weiblich;9;20;8;90;täglich;täglich;seltener;mehrmals pro Woche;täglich
14;männlich;9;80;4;105;täglich;mehrmals pro Woche;seltener;nie;mehrmals pro Woche
14;weiblich;8;83;7;291;täglich;täglich;nie;nie;täglich
14;männlich;8;98;20;60;täglich;täglich;nie;nie;täglich
16;weiblich;11;75;7;181;täglich;nie;nie;nie;mehrmals pro Woche
15;männlich;8;16;6;40;täglich;nie;nie;täglich;nie
11;weiblich;6;30;6;66;täglich;täglich;nie;nie;täglich
11;männlich;5;19;0;24;täglich;nie;nie;nie;nie
16;weiblich;9;36;8;68;einmal in 14 Tagen;einmal pro Woche;einmal in 14 Tagen;täglich;einmal pro Woche
15;weiblich;8;24;5;99;mehrmals pro Woche;täglich;nie;nie;täglich
11;weiblich;6;9;1;42;täglich;nie;nie;nie;nie
14;weiblich;8;96;13;109;täglich;täglich;seltener;seltener;täglich
14;weiblich;8;75;3;157;täglich;täglich;nie;nie;mehrmals pro Woche
14;männlich;8;34;1;99;täglich;mehrmals pro Woche;nie;nie;nie
17;männlich;11;113;3;102;täglich;mehrmals pro Woche;nie;nie;nie
17;weiblich;10;26;15;75;täglich;täglich;nie;täglich;täglich
13;männlich;7;54;9;63;täglich;täglich;nie;nie;täglich
14;männlich;8;44;6;40;täglich;täglich;seltener;mehrmals pro Woche;täglich
18;weiblich;12;10;6;160;täglich;nie;nie;nie;nie
14;männlich;8;45;10;52;täglich;täglich;einmal in 14 Tagen;täglich;täglich
15;männlich;9;60;9;73;mehrmals pro Woche;mehrmals pro Woche;einmal pro Woche;einmal pro Woche;einmal im Monat
15;weiblich;9;26;11;220;täglich;täglich;nie;nie;täglich
12;männlich;7;20;4;114;täglich;seltener;nie;nie;nie
13;weiblich;7;9;2;112;täglich;täglich;nie;nie;nie
10;männlich;5;7;2;46;täglich;täglich;nie;nie;seltener
10;männlich;5;30;2;49;täglich;nie;nie;nie;nie
11;männlich;5;25;2;81;täglich;nie;nie;nie;nie
18;weiblich;11;46;8;294;täglich;täglich;mehrmals pro Woche;nie;täglich
18;männlich;12;37;5;120;täglich;täglich;seltener;einmal im Monat;täglich
16;weiblich;10;34;2;100;täglich;mehrmals pro Woche;nie;nie;täglich
11;männlich;5;67;3;30;mehrmals pro Woche;nie;nie;nie;nie
14;männlich;7;23;9;36;täglich;täglich;nie;nie;täglich
15;weiblich;9;121;3;66;täglich;täglich;nie;nie;täglich
15;weiblich;9;10;7;60;täglich;täglich;nie;seltener;nie
18;männlich;12;74;3;482;täglich;mehrmals pro Woche;nie;nie;täglich
16;männlich;10;18;6;67;täglich;nie;nie;nie;nie
12;weiblich;6;10;1;22;täglich;nie;nie;nie;seltener
17;männlich;11;46;26;83;täglich;täglich;nie;nie;nie
11;weiblich;6;3;0;56;mehrmals pro Woche;nie;nie;nie;nie
11;männlich;5;32;7;42;täglich;nie;nie;nie;mehrmals pro Woche
10;männlich;5;20;8;32;täglich;nie;nie;nie;nie
16;männlich;10;18;5;119;täglich;täglich;nie;nie;mehrmals pro Woche
15;weiblich;11;167;23;170;täglich;täglich;nie;mehrmals pro Woche;täglich
16;männlich;10;108;5;118;täglich;täglich;nie;nie;täglich
10;männlich;5;;2;0;nie;nie;nie;nie;nie
14;männlich;9;30;10;68;täglich;nie;nie;seltener;nie
13;männlich;7;8;5;50;täglich;mehrmals pro Woche;nie;seltener;nie
18;männlich;12;7;21;26;mehrmals pro Woche;nie;nie;nie;seltener
13;männlich;8;8;2;15;täglich;seltener;nie;nie;seltener
13;männlich;8;;6;;mehrmals pro Woche;einmal pro Woche;einmal im Monat;seltener;einmal pro Woche
18;männlich;12;30;7;116;täglich;nie;nie;einmal pro Woche;mehrmals pro Woche
18;weiblich;12;42;15;222;täglich;täglich;nie;mehrmals pro Woche;täglich
11;männlich;5;47;0;7;nie;nie;nie;nie;nie
11;männlich;5;47;0;7;einmal im Monat;einmal pro Woche;einmal im Monat;seltener;einmal in 14 Tagen
15;männlich;9;57;8;249;mehrmals pro Woche;täglich;nie;nie;täglich
17;weiblich;12;82;9;262;täglich;täglich;seltener;einmal pro Woche;täglich
13;weiblich;8;41;8;114;täglich;täglich;einmal im Monat;täglich;täglich
17;männlich;12;90;8;271;täglich;täglich;nie;nie;täglich
17;weiblich;12;12;5;90;täglich;täglich;seltener;nie;täglich
15;weiblich;10;51;6;59;täglich;täglich;nie;nie;täglich
14;weiblich;9;14;1;177;täglich;nie;nie;nie;nie
16;männlich;11;62;10;25;täglich;einmal pro Woche;nie;nie;einmal im Monat
13;weiblich;8;19;2;117;täglich;nie;nie;nie;nie
13;weiblich;9;33;5;218;täglich;täglich;nie;nie;mehrmals pro Woche
14;weiblich;9;60;5;43;täglich;täglich;nie;nie;täglich
13;weiblich;8;9;2;271;täglich;täglich;nie;nie;nie
17;männlich;12;18;7;52;mehrmals pro Woche;nie;nie;nie;nie
17;männlich;12;48;2;96;täglich;nie;nie;nie;nie
17;weiblich;12;17;3;167;täglich;nie;nie;nie;einmal im Monat
16;männlich;12;73;20;50;mehrmals pro Woche;mehrmals pro Woche;nie;nie;nie
18;männlich;12;90;19;180;täglich;täglich;nie;seltener;täglich
17;männlich;12;84;19;255;täglich;täglich;einmal pro Woche;nie;mehrmals pro Woche
17;männlich;12;99;16;8;mehrmals pro Woche;mehrmals pro Woche;nie;nie;täglich
17;männlich;12;22;5;115;täglich;täglich;mehrmals pro Woche;seltener;mehrmals pro Woche
14;männlich;9;40;3;201;täglich;nie;nie;nie;nie
